Th1	Th2	Th17	Th0	iTreg
AC103563.7	-0.0143521281135474	-0.00221578075781564	-0.0048998267306585	0.0189303569147387	0.00253737868728287
AC019205.3	-0.0121772067008962	-0.0104051208402677	-0.00665710013155776	0.0170151876002086	0.012224240072513
LINC01871	-0.0143291585924924	-0.00343525995658175	-0.0136928645546658	0.0423397150608049	-0.0108824319570649
AC099336.2	-0.00716543239161956	-0.00571711240149247	-0.00314658807495697	0.0108099648042435	0.0052191680638255
MTATP8P1	-0.0128596973758826	-0.0107667736747615	-0.00717741071218942	0.0163088117920357	0.0144950699707978
MTND4P12	-0.00910333506870059	-0.00772008498809415	-0.00520077284127733	0.0108273563564644	0.0111968365416077
MTATP6P1	-0.0105525206089044	-0.00768752972775424	-0.00602010486252975	0.0128979624855186	0.0113621927136698
MTND6P4	-0.00150525925895933	-0.00131030181259946	-0.000850854565174803	0.00152550980065856	0.00214090583607504
AC139720.1	-0.00655313369914237	-0.00468987597189541	-0.00142415381952518	0.00842255367556896	0.00424460981499405
AC034199.1	-0.0166160763763803	-0.0138403884448522	-0.00880416512686028	-0.0115711457627895	0.0508317757108821
SIGLEC12	-0.000864796396544922	0.000816034608407993	-0.000495476354222919	-0.000296525094731701	0.000840763237091552
LINC00239	-0.00440004525965284	-0.0036893338039458	0.00207534599427947	0.00371141719620275	0.00230261587311643
MTCO1P40	-0.008196805293361	-0.00701947312447285	-0.00459075817182292	0.00975023570490409	0.0100568008847527
AC004585.1	-0.00513881395969955	-0.00870742579759865	0.00528436272590807	0.0156898514835742	-0.007127974452184
