"Genes" "ID" "B1_D" "B1_H" "B1_L" "B10_L" "B11_L" "B12_L" "B13_L" "B14_L" "B15_L" "B16_L" "B17_L" "B18_L" "B2_D" "B3_D" "CD4_1_D" "CD4_1_L" "CD4_1_Z" "CD4_10_L" "CD4_11_L" "CD4_12_L" "CD4_13_L" "CD4_14_L" "CD4_15_L" "CD4_16_L" "CD4_17_L" "CD4_18_L" "CD4_2_D" "CD4_2_Z" "CD4_3_D" "CD8_1_D" "CD8_1_L" "CD8_1_Z" "CD8_10_L" "CD8_11_L" "CD8_12_L" "CD8_13_L" "CD8_14_L" "CD8_15_L" "CD8_16_L" "CD8_17_L" "CD8_18_L" "CD8_2_D" "CD8_2_Z" "CD8_3_D" "CD8_3_Z" "D1_H" "D1_P" "D2_H" "D2_P" "D3_H" "D4_H" "D5_H" "D6_H" "M1_1_B" "M1_1_X" "M1_2_B" "M1_2_X" "M2_1_B" "M2_1_X" "M2_2_B" "M2_2_X" "Mo1_D" "Mo1_H" "Mo1_L" "Mo1_P" "Mo10_L" "Mo11_L" "Mo12_L" "Mo13_L" "Mo14_L" "Mo15_L" "Mo16_L" "Mo17_L" "Mo18_L" "Mo2_D" "Mo2_P" "Mo3_D" "MQ1_X" "MQ1_Z" "MQ2_X" "MQ2_Z" "MQ3_Z" "Ne1_H" "Ne1_L" "Ne10_L" "Ne11_L" "Ne12_L" "Ne13_L" "Ne14_L" "Ne15_L" "Ne16_L" "Ne17_L" "Ne18_L" "Nk1_D" "Nk1_H" "Nk1_L" "NK1_Z" "Nk10_L" "Nk11_L" "Nk12_L" "Nk13_L" "Nk14_L" "Nk2_D" "Nk2_L" "Nk3_D" "Nk3_L" "Nk4_L" "Nk5_L"
"CDH1" "ENSG00000039068" "CDH1" 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 1 3 0 1 0 1 0 0 0 0 0 0 0 0 0 2 4 0 2 1 1 0 1 1 0 0 1 20 0 0 4 18 4 6 8 4 8 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHN1" "ENSG00000128656" "CHN1" 0 NA 1 0 0 0 0 0 0 1 0 0 0 0 2 4 234 1 2 5 5 5 6 5 2 4 4 14 4 1 2 12 0 2 2 2 2 1 2 1 2 2 1 2 3 NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 3 NA 0 0 0 0 3 0 0 0 0 0 0 NA 1 0 1 1 0 0 1 0 1 0 1 0 1
"CKB" "ENSG00000166165" "CKB" 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 2 28 1 0 1 1 0 1 1 0 1 0 0 0 0 1 13 0 0 1 1 0 0 0 0 0 0 0 0 17 64 22 122 26 64 120 63 64 8 166 1 198 4 31 4 19 2 1 1 6 2 2 1 4 2 1 4 4 2 0 14 1 17 9 2 1 0 3 5 0 3 3 4 3 6 7 7 6 0 0 2 1 2 1 2 1 1 0 1 0 1 2 1
"CLDN1" "ENSG00000163347" "CLDN1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 0 0 0 1 0 0 0 158 43 2 6 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 8 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CLEC4F" "ENSG00000152672" "CLEC4F" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 26 223 17 15 15 28 228 0 NA 0 NA 1 NA 0 NA 0 0 1 0 2 6 1 5 5 0 0 7 1 0 0 0 NA 26 NA 13 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CNTNAP2" "ENSG00000174469" "CNTNAP2" 250 75 33 48 51 100 96 78 92 4 48 232 240 384 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 1 NA 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0
"CNTNAP3" "ENSG00000106714" "CNTNAP3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 0 0 0 0 NA 0 NA 0 NA 0 NA 0 0 0 NA 7 0 0 0 0 0 0 0 0 0 NA 0 NA 0 NA 0 0 212 183 44 172 134 68 90 80 154 120 185 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
"COBLL1" "ENSG00000082438" "COBLL1" 417 NA 122 210 172 144 153 138 178 188 148 157 100 395 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 0 0 1 0 0 0 1 NA 1 NA 1 1 0 0 1 0 0 0 0 1 NA 1 0 0 0 0 0 NA 1 0 2 2 2 2 2 2 2 0 1 NA 0 0 0 0 1 0 0 1 1 0 1 1 1
"COL13A1" "ENSG00000197467" "COL13A1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 1 1 4 5 0 0 3 0 3 12 0 9 6 13 86 8 1 16 14 11 10 10 10 8 24 14 9 8
"COL19A1" "ENSG00000082293" "COL19A1" 124 NA 55 84 77 133 116 112 108 88 108 150 120 148 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 NA 0 0 NA 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0
"COLCA1" "ENSG00000196167" "COLCA1" 1 44 5 10 3 5 5 8 2 7 14 6 2 13 0 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 NA 0 NA 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 0
"CORIN" "ENSG00000145244" "CORIN" 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 16 2 8 6 6 3 9 6 6 6 8 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1
"CRTAM" "ENSG00000109943" "CRTAM" 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 2 1 12 1 1 0 0 1 1 1 1 1 3 0 1 70 26 775 9 20 24 25 24 16 26 28 28 95 207 40 220 NA 4 NA 1 NA NA NA NA 12 NA 11 NA 0 NA 1 NA 3 NA 11 9 2 4 7 8 12 11 12 7 9 3 7 6 NA 6 NA 31 1 NA 2 0 0 0 0 0 0 0 0 0 8 NA 6 92 3 2 6 3 4 26 4 15 5 5 2
"CSF2RBP1" "ENSG00000232254" "CSF2RBP1" NA 0 0 0 0 0 0 0 0 0 0 0 NA NA NA 0 NA 0 0 0 0 0 0 0 0 0 NA NA NA NA 0 NA 0 0 0 0 0 0 0 0 0 NA NA NA NA 0 NA 0 NA 0 0 0 0 NA NA NA NA NA NA NA NA NA 0 0 NA 0 0 0 1 0 0 0 0 0 NA NA NA NA NA NA NA NA 35 28 4 10 32 36 24 25 31 22 18 NA 0 0 NA 0 0 0 0 0 NA 0 NA 0 0 0
"CTLA4" "ENSG00000163599" "CTLA4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 75 28 91 124 53 57 60 68 71 55 68 38 104 22 3 7 54 25 30 5 7 8 6 9 4 13 6 92 3 0 0 22 0 6 0 0 0 0 0 NA 0 NA 0 NA 2 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 3 NA 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 0 0 0
"CXCL10" "ENSG00000169245" "CXCL10" 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 11 0 0 0 2 0 0 0 0 0 0 0 0 0 0 4 0 1 NA NA NA NA NA NA NA NA 862 7130 1356 7130 4 908 1 624 1 NA 6 NA 1 2 8 176 5 7 6 7 3 2 NA 3 408 1357 2353 445 366 NA 0 0 0 0 4 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0
"CYP27B1" "ENSG00000111012" "CYP27B1" 0 NA 0 0 0 0 0 0 0 0 1 0 0 0 2 2 6 1 0 0 1 1 0 1 1 0 5 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 NA 3 NA 4 NA NA NA NA 119 290 14 236 2 32 1 1 0 NA 0 0 0 0 0 0 2 1 1 0 1 0 0 0 4 0 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 1 NA 0 0 0 0 0 0 0 0 0 0 0 0 0
"CYSLTR1" "ENSG00000173198" "CYSLTR1" 67 37 32 35 34 43 48 27 48 37 40 33 62 26 21 15 18 9 10 18 18 11 8 17 17 20 24 1 22 0 2 0 2 1 1 2 1 1 2 1 2 1 0 0 2 34 19 66 24 35 64 34 35 3 3 3 0 12 53 8 52 37 35 27 22 18 16 41 75 21 30 25 30 20 35 24 60 17 14 21 50 58 66 50 47 55 53 97 58 56 66 78 59 19 18 6 4 5 9 6 9 2 13 6 27 10 8 13
"DAB2IP" "ENSG00000136848" "DAB2IP" 1 NA 8 0 0 1 2 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 22 0 1 4 25 20 13 10 13 6 4 1 2 0 1 NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 NA 3 NA 0 0 1 1 1 0 1 1 1 0 NA 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 0 NA 12 0 0 0 1 1 0 3 0 0 1 0 0
"DIRAS1" "ENSG00000176490" "DIRAS1" 141 38 44 19 51 34 32 28 22 26 34 22 84 64 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 1 0 7 0 16 0 0 0 0 6 0 3 0 1 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 2 1 1 0 0 0 0 0 0 0 4 4 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0
"DKK3" "ENSG00000050165" "DKK3" 0 NA 0 0 0 0 0 0 0 0 0 0 6 0 3 0 9 0 1 0 0 0 1 1 0 0 8 1 4 23 8 8 7 9 8 8 24 4 13 12 9 35 0 17 6 NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 1 NA 0 NA 0 0 0 0 0 0 0 0 0 1 NA 1 0 0 0 2 0 NA 0 0 0 0 0 0 0 0 0 0 2 NA 0 0 0 0 0 0 0 8 0 9 0 0 0
"DNASE1L3" "ENSG00000163687" "DNASE1L3" 12 2 1 4 1 3 3 6 3 3 3 3 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 23 2 17 5 5 4 2 0 NA 0 NA 86 NA 0 NA 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 NA 1 NA 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"DPYSL4" "ENSG00000151640" "DPYSL4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 2 0 1 0 3 2 2 3 7 4 14 8 0 10 0 0 0 0 0 0 0 0 0 3 0 2 0 0 3 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 2 3 6 1
"DST" "ENSG00000151914" "DST" 1 1 1 1 2 1 1 1 1 1 1 1 3 1 7 3 7 2 2 10 8 2 7 4 1 6 2 0 6 0 2 4 1 1 1 0 1 0 0 1 1 0 0 0 0 55 126 54 111 55 53 54 56 0 1 0 1 6 1 1 1 43 29 14 39 5 5 17 12 12 12 11 13 15 33 32 39 0 225 0 34 2 0 4 0 0 3 0 0 0 0 0 0 15 15 19 5 6 3 8 9 2 12 6 6 9 11 16
"EBF1" "ENSG00000164330" "EBF1" 106 69 128 82 85 104 86 101 102 86 102 114 155 249 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 26 0 43 0 0 0 0 0 NA 0 NA 0 NA 0 NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENAH" "ENSG00000154380" "ENAH" 3 4 6 6 3 10 6 11 3 4 6 7 7 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
"EPHB1" "ENSG00000154928" "EPHB1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 NA 1 NA 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 NA 1 0 0 0 0 1 0 0 0 0 NA 0 0 0 0 0 0 136 84 16 31 98 108 95 77 79 84 85 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"EPHB2" "ENSG00000133216" "EPHB2" 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 NA 0 NA 0 NA NA NA NA 3 26 3 23 2 3 2 4 44 NA 17 14 7 11 13 30 8 18 20 12 16 13 25 23 16 27 16 14 5 NA 4 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0
"EPHB3" "ENSG00000182580" "EPHB3" 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 24 0 0 1 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 2 1 2 2 23 1 16 5 1 2 6 0 0 0 0 1 0 1 0 0 5 1 0 2 5 3 2 1 4 4 1 1 5 0 3 0 1 0 3 1 0 0 0 0 0 0 0 0 0 4 0 1 0 0 3 0 0 0 0 0 1 0 0 0 0 0
"EPS8" "ENSG00000151491" "EPS8" 0 1 1 0 0 0 1 0 1 1 1 1 0 0 2 1 10 1 2 2 2 1 2 0 1 1 1 1 1 0 1 6 0 1 0 0 1 1 0 1 1 0 0 1 0 55 14 54 12 55 53 54 56 3 0 1 1 2 4 2 18 6 8 4 11 8 12 7 8 6 7 8 4 5 2 10 3 21 9 25 11 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 1
"FAAH2" "ENSG00000165591" "FAAH2" 1 2 1 0 0 1 1 1 0 1 1 1 0 0 13 7 40 7 10 6 7 8 8 6 3 7 7 9 11 3 2 16 2 2 2 2 3 2 2 2 3 2 19 1 1 0 0 0 0 0 0 0 0 0 NA 0 NA 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"FAT4" "ENSG00000196159" "FAT4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 0 0 0 0 NA 0 NA 0 NA 0 NA 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 28 44 52 1 22 14 24 21 11 37 23 29 30 25 24
"FBLN2" "ENSG00000163520" "FBLN2" 1 8 12 15 10 10 9 13 12 16 11 18 1 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 23 0 14 1 5 6 6 3 8 29 18 1 0 15 0 17 60 17 58 17 5 16 18 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 4 2 0 5 6 4 2 1 1 2 0 2 2 5
"FBLN7" "ENSG00000144152" "FBLN7" 0 0 1 0 0 0 0 1 1 0 0 0 0 0 15 17 36 16 18 17 18 20 15 18 17 15 22 49 8 0 0 0 2 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"FCER1A" "ENSG00000179639" "FCER1A" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 5 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 290 350 138 376 290 136 786 139 0 NA 0 NA 909 NA 59 NA 2 37 1 5 0 0 21 4 4 9 22 17 7 10 10 7 NA 2 NA 102 33 0 0 0 0 0 0 0 0 0 0 0 0 9 77 0 39 2 74 28 48 1 23 0 2 8 16
"FCRL1" "ENSG00000163534" "FCRL1" 630 2350 1371 1666 1371 2040 2344 2040 1666 1121 1121 1371 429 705 2 1 0 4 1 1 0 1 1 2 3 1 0 0 1 0 2 0 32 1 0 0 1 0 0 0 1 0 0 0 0 17 111 9 184 17 17 17 9 0 NA 0 NA 0 NA 0 NA 0 0 0 0 20 1 1 1 0 0 2 0 0 0 0 0 NA 9 NA 1 0 10 13 62 39 6 4 6 10 10 6 16 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0
"FGF13" "ENSG00000129682" "FGF13" 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 0 0 1 0 1 4 0 NA 0 NA 1 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 NA 14 12 19 9 14 14 11 3 0 11 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0
"FLT4" "ENSG00000037280" "FLT4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 16 0 16 13 7 8 11 12 9 12 10 7 0 7 7 54 0 30 19 50 40 45 42 56 38 28 9 14 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"FOXP3" "ENSG00000049768" "FOXP3" 1 NA 1 0 1 1 2 2 1 0 1 0 0 3 14 26 21 26 52 27 34 33 27 27 21 32 12 82 28 0 2 0 3 3 3 3 3 2 2 2 5 0 0 2 0 NA NA NA NA NA NA NA NA 0 2 0 0 0 0 0 0 0 NA 0 NA 0 0 0 0 1 1 0 0 1 0 NA 0 0 0 0 0 0 NA 0 2 0 0 0 0 0 0 0 0 0 NA 0 0 1 1 1 0 1 0 1 0 2 1 1
"GALNT14" "ENSG00000158089" "GALNT14" 0 0 1 3 1 1 0 1 1 1 0 1 1 3 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 17 0 0 0 0 0 0 0 0 0 1 0 0 0 NA 0 NA 0 0 0 0 0 NA 0 NA 0 NA 0 NA 0 0 0 NA 23 2 0 0 0 0 0 0 0 0 NA 0 NA 0 NA 1 0 26 26 115 100 28 20 23 21 39 43 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GBP6" "ENSG00000183347" "GBP6" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 NA 0 NA 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 0 19 8 6 6 14 26 13 15 11 11 8 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"GIPR" "ENSG00000010310" "GIPR" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 3 8 3 9 3 3 7 3 3 3 4 0 8 0 1 8 2 7 16 9 7 11 9 8 6 12 0 28 0 20 14 102 14 90 14 14 25 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 13 6 87 16 14 7 7 20 6 9 1 8 12 8
"GPER1" "ENSG00000164850" "GPER1" 0 1 2 1 2 3 1 3 2 1 1 2 0 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 NA 9 3 5 2 9 5 17 2 NA NA NA NA NA NA NA NA 15 17 7 5 27 57 2 4 10 2 6 1 5 7 4 5 NA NA NA NA NA 0 2 0 0 0 0 0 0 0 0 0 0 1 0 NA 0 0 0 0 0 1 0 1 0 0 0
"GPR15" "ENSG00000154165" "GPR15" 0 7 4 0 4 4 6 3 7 6 1 3 0 0 9 4 51 1 16 4 5 5 16 8 3 2 19 22 10 2 2 113 0 8 1 1 1 3 3 0 0 6 0 4 2 0 NA 0 NA 0 0 0 0 0 NA 0 NA 0 NA 0 NA 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 1 1 0
"GPR34" "ENSG00000171659" "GPR34" 0 NA 1 0 0 0 0 0 0 1 0 1 0 0 1 0 4 0 0 0 0 0 0 0 0 0 1 67 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 2 NA NA NA NA NA NA NA NA 2 0 2 0 41 351 18 346 5 NA 6 NA 15 28 4 3 3 4 4 5 2 3 NA 2 445 149 346 76 207 NA 2 13 8 0 0 3 0 4 0 3 1 NA 3 1 1 0 2 1 2 1 2 0 0 1 1
"GPRC5B" "ENSG00000167191" "GPRC5B" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 5 5 3 6 6 4 3 2 8 4 9 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 4 1 0 0 0 2 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 5 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GRIK4" "ENSG00000149403" "GRIK4" 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 52 15 47 6 1 29 41 1 0 20 16 15 43 60 25
"GUCY1A3" "ENSG00000164116" "GUCY1A3" 1 0 0 2 1 0 1 0 1 1 1 2 1 1 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 17 6 32 3 32 31 32 32 0 1 0 33 0 0 0 0 0 1 1 0 0 1 1 6 1 1 1 0 1 1 0 2 0 10 0 0 2 0 0 0 0 0 0 0 0 0 0 0 20 4 5 2 1 3 4 3 1 3 5 4 3 2 7
"HIST1H1PS1" "ENSG00000216331" "HIST1H1PS1" NA 0 0 0 0 0 0 0 0 0 0 0 NA NA NA 0 NA 0 0 0 0 0 0 0 0 0 NA NA NA NA 0 NA 0 0 0 0 0 0 0 0 0 NA NA NA NA 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA NA NA NA NA NA 22 3 6 4 12 14 12 16 11 13 6 NA 0 0 NA 0 0 0 0 0 NA 0 NA 0 0 0
"HLF" "ENSG00000108924" "HLF" 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 4 9 64 2 7 16 12 6 6 9 6 9 4 19 6 0 1 0 0 0 1 1 2 1 2 1 1 0 0 0 1 NA 0 NA 0 NA NA NA NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 0 NA 0 0 0 0 0 0 0 0 0 0 0 NA 1 0 0 0 1 1 0 0 1 0 0 0 1
"HRH1" "ENSG00000196639" "HRH1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 NA 0 NA 0 0 0 0 2 2 2 3 93 5 60 24 0 0 0 NA 1 0 0 0 0 0 0 0 0 0 NA 0 1 1 0 13 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"HTR7" "ENSG00000148680" "HTR7" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 41 16 21 8 8 15 16 0 0 0 0 0 0 1 0 0 2 3 7 3 7 5 2 2 2 5 5 2 1 5 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"HTRA1" "ENSG00000166033" "HTRA1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33 0 0 1 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 1 10 0 1 0 8 0 17 10 5 6 8 3 29 4 1 5 9 8 5 10 2 4 2 133 3 49 28 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
