"Genes" "ID" "B1_D" "B1_H" "B1_L" "B10_L" "B11_L" "B12_L" "B13_L" "B14_L" "B15_L" "B16_L" "B17_L" "B18_L" "B2_D" "B3_D" "CD4_1_D" "CD4_1_L" "CD4_1_Z" "CD4_10_L" "CD4_11_L" "CD4_12_L" "CD4_13_L" "CD4_14_L" "CD4_15_L" "CD4_16_L" "CD4_17_L" "CD4_18_L" "CD4_2_D" "CD4_2_Z" "CD4_3_D" "CD8_1_D" "CD8_1_L" "CD8_1_Z" "CD8_10_L" "CD8_11_L" "CD8_12_L" "CD8_13_L" "CD8_14_L" "CD8_15_L" "CD8_16_L" "CD8_17_L" "CD8_18_L" "CD8_2_D" "CD8_2_Z" "CD8_3_D" "CD8_3_Z" "D1_H" "D1_P" "D2_H" "D2_P" "D3_H" "D4_H" "D5_H" "D6_H" "M1_1_B" "M1_1_X" "M1_2_B" "M1_2_X" "M2_1_B" "M2_1_X" "M2_2_B" "M2_2_X" "Mo1_D" "Mo1_H" "Mo1_L" "Mo1_P" "Mo10_L" "Mo11_L" "Mo12_L" "Mo13_L" "Mo14_L" "Mo15_L" "Mo16_L" "Mo17_L" "Mo18_L" "Mo2_D" "Mo2_P" "Mo3_D" "MQ1_X" "MQ1_Z" "MQ2_X" "MQ2_Z" "MQ3_Z" "Ne1_H" "Ne1_L" "Ne10_L" "Ne11_L" "Ne12_L" "Ne13_L" "Ne14_L" "Ne15_L" "Ne16_L" "Ne17_L" "Ne18_L" "Nk1_D" "Nk1_H" "Nk1_L" "NK1_Z" "Nk10_L" "Nk11_L" "Nk12_L" "Nk13_L" "Nk14_L" "Nk2_D" "Nk2_L" "Nk3_D" "Nk3_L" "Nk4_L" "Nk5_L"
"ADAMTS5" "ENSG00000154736" "ADAMTS5" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 NA 0 NA 0 0 0 0 0 NA 0 NA 0 NA 0 NA 3 16 10 NA 0 1 9 2 7 6 5 7 5 8 NA 7 NA 1 NA 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ADORA3" "ENSG00000282608" "ADORA3" 0 NA NA NA NA NA NA NA NA NA NA NA 0 0 0 NA 0 NA NA NA NA NA NA NA NA NA 0 5 0 0 NA 1 NA NA NA NA NA NA NA NA NA 0 2 0 0 NA NA NA NA NA NA NA NA 2 0 2 0 64 94 68 190 8 NA NA NA NA NA NA NA NA NA NA NA NA 2 NA 2 148 294 148 125 23 NA NA NA NA NA NA NA NA NA NA NA 0 NA NA 1 NA NA NA NA NA 0 NA 0 NA NA NA
"ADTRP" "ENSG00000111863" "ADTRP" 0 2 0 0 0 0 0 0 0 0 0 0 0 1 34 58 26 140 64 50 45 82 47 50 90 109 40 4 19 3 5 86 48 6 6 7 8 6 4 6 20 6 72 0 1 1 NA 0 NA 0 1 1 0 NA 1 NA 0 NA 1 NA 0 0 0 1 NA 0 0 0 0 1 1 0 0 0 0 NA 0 1 0 0 1 0 1 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AKR1C3" "ENSG00000196139" "AKR1C3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 5 2 2 2 1 2 2 3 2 2 0 0 0 1 1 8 1 1 2 2 2 1 5 1 0 0 1 0 4 0 NA 0 NA 0 0 0 0 6 0 6 0 0 0 0 0 0 0 0 NA 1 1 0 0 1 2 0 0 1 0 NA 0 0 0 0 0 0 2 0 7 10 3 5 3 0 7 4 6 36 166 42 110 46 74 40 72 17 17 62 21 66 51 48
"AL031777.1" "ENSG00000217275" "AL031777.1" NA 0 0 0 0 0 0 0 0 0 0 0 NA NA NA 0 NA 0 0 0 0 0 0 0 0 0 NA NA NA NA 0 NA 0 0 0 0 0 0 0 0 0 NA NA NA NA 0 NA 0 NA 0 0 0 0 NA NA NA NA NA NA NA NA NA 0 0 NA 1 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 22 7 9 8 10 11 10 14 7 7 6 NA 0 0 NA 0 0 0 0 0 NA 0 NA 0 0 0
"AL049651.1" "ENSG00000230492" "AL049651.1" NA 0 0 0 0 0 0 0 0 0 0 0 NA NA NA 0 NA 0 0 0 0 0 0 0 0 0 NA NA NA NA 0 NA 0 0 0 0 0 0 0 0 0 NA NA NA NA 1 0 1 0 2 2 1 1 NA NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA NA NA NA NA NA 77 16 9 26 18 15 13 16 18 11 10 NA 0 0 NA 0 0 0 0 0 NA 0 NA 0 0 0
"AL121761.1" "ENSG00000233895" "AL121761.1" NA 0 0 1 0 1 1 0 0 0 0 0 NA NA NA 0 NA 0 0 0 0 0 0 0 0 0 NA NA NA NA 0 NA 0 0 0 0 0 0 0 0 0 NA NA NA NA 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA 2 3 6 4 6 8 6 4 6 3 7 6 NA 12 NA NA NA NA NA NA 0 1 1 1 1 2 1 1 1 1 1 NA 0 0 NA 0 0 0 1 0 NA 0 NA 0 0 0
"AL355922.1" "ENSG00000136315" "AL355922.1" NA NA 0 0 0 0 0 0 0 0 0 0 NA NA NA 0 NA 0 0 0 0 0 0 0 0 0 NA NA NA NA 0 NA 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 6 NA 25 15 6 4 5 7 3 8 7 NA NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 NA NA 0 NA 0 0 0 0 0 NA 0 NA 0 0 0
"AL359815.1" "ENSG00000233431" "AL359815.1" NA 0 0 0 0 0 0 0 0 0 0 0 NA NA NA 0 NA 0 0 0 0 0 0 0 0 0 NA NA NA NA 0 NA 0 0 0 0 0 0 0 0 0 NA NA NA NA 0 NA 0 NA 0 0 0 0 NA NA NA NA NA NA NA NA NA 0 1 NA 0 1 0 1 0 1 1 1 0 NA NA NA NA NA NA NA NA 23 9 12 14 9 10 10 8 7 13 8 NA 0 0 NA 0 0 0 0 0 NA 0 NA 0 0 0
"ALOX15" "ENSG00000161905" "ALOX15" 0 0 1 0 0 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 1 NA 2 0 1 1 0 0 0 0 2020 18 1593 62 0 0 0 NA 0 0 0 0 0 0 0 0 0 1 NA 0 0 0 0 0 8 27 0 0 0 3 0 9 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
